,title,description
0,Dick Johnson Is Dead,As her father nears the end of his life filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable
1,Blood & Water,After crossing paths at a party a Cape Town teen sets out to prove whether a privateschool swimming star is her sister who was abducted at birth
2,Ganglands,To protect his family from a powerful drug lord skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war
3,Jailbirds New Orleans,Feuds flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series
4,Kota Factory,In a city of coaching centers known to train Indias finest collegiate minds an earnest but unexceptional student and his friends navigate campus life
5,Midnight Mass,The arrival of a charismatic young priest brings glorious miracles ominous mysteries and renewed religious fervor to a dying town desperate to believe
6,My Little Pony: A New Generation,Equestrias divided But a brighteyed hero believes Earth Ponies Pegasi and Unicorns should be pals  and hoof to heart shes determined to prove it
7,Sankofa,On a photo shoot in Ghana an American model slips back in time becomes enslaved on a plantation and bears witness to the agony of her ancestral past
8,The Great British Baking Show,A talented batch of amateur bakers face off in a 10week competition whipping up their best dishes in the hopes of being named the UKs best
9,The Starling,A woman adjusting to life after a loss contends with a feisty bird thats taken over her garden  and a husband whos struggling to find a way forward
10,"Vendetta: Truth, Lies and The Mafia",Sicily boasts a bold AntiMafia coalition But what happens when those trying to bring down organized crime are accused of being criminals themselves
11,Bangkok Breaking,Struggling to earn a living in Bangkok a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy
12,Je Suis Karl,After most of her family is murdered in a terrorist bombing a young woman is unknowingly lured into joining the very group that killed them
13,Confessions of an Invisible Girl,When the clever but sociallyawkward Tet joins a new school shell do anything to fit in But the queen bee among her classmates has other ideas
14,Crime Stories: India Detectives,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations
15,Dear White People,Students of color navigate the daily slights and slippery politics of life at an Ivy League college thats not nearly as postracial as it thinks
16,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Declassified documents reveal the postWWII life of Otto Skorzeny a close Hitler ally who escaped to Spain and became an adviser to world presidents
17,Falsa identidad,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drugdealing enemies and her abusive husband
18,Intrusion,After a deadly home invasion at a couples new dream house the traumatized wife searches for answers  and learns the real danger is just beginning
19,Jaguar,In the 1960s a Holocaust survivor joins a group of selftrained spies who seek justice against Nazis fleeing to Spain to hide after WWII
20,Monsters Inside: The 24 Faces of Billy Milligan,In the late 1970s an accused serial rapist claims multiple personalities control his behavior setting off a legal odyssey that captivates America
21,Resurrection: Ertugrul,When a good deed unwittingly endangers his clan a 13thcentury Turkish warrior agrees to fight a sultans enemies in exchange for new tribal land
22,Avvai Shanmughi,Newly divorced and denied visitation rights with his daughter a doting father disguises himself as a grayhaired nanny in order to spend time with her
23,Go! Go! Cory Carson: Chrissy Takes the Wheel,From arcade games to sled days and hiccup cures Cory Carsons curious little sister Chrissy speeds off on her own for fun and adventure all over town
24,Jeans,When the father of the man she loves insists that his twin sons marry twin sisters a woman creates an alter ego that might be a bit too convincing
25,Love on the Spectrum,Finding love can be hard for anyone For young adults on the autism spectrum exploring the unpredictable world of dating is even more complicated
26,Minsara Kanavu,A tangled love triangle ensues when a man falls for a woman studying to become a nun  and she falls for the friend he enlists to help him pursue her
27,Grown Ups,Mourning the loss of their beloved junior high basketball coach five middleaged pals reunite at a lake house and rediscover the joys of being a kid
28,Dark Skies,A familys idyllic suburban life shatters when an alien force invades their home and as they struggle to convince others of the deadly threat
29,Paranoia,Blackmailed by his companys CEO a lowlevel employee finds himself forced to spy on the bosss rival and former mentor
30,Ankahi Kahaniya,As big city life buzzes around them lonely souls discover surprising sources of connection and companionship in three tales of love loss and longing
31,Chicago Party Aunt,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood  and a soft spot for her soulsearching nephew
32,Sex Education,Insecure Otis has all the answers when it comes to sex advice thanks to his therapist mom So rebel Maeve proposes a school sextherapy clinic
33,Squid Game,Hundreds of cashstrapped players accept a strange invitation to compete in childrens games Inside a tempting prize awaits  with deadly high stakes
34,Tayo and Little Wizards,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone
35,The Father Who Moves Mountains,When his son goes missing during a snowy hike in the mountains a retired intelligence officer will stop at nothing  and risk everything  to find him
36,The Stronghold,Tired of the smalltime grind three Marseille cops get a chance to bust a major drug network But lines blur when a key informant makes a big ask
37,Angry Birds,Birds Red Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal
38,Birth of the Dragon,A young Bruce Lee angers kung fu traditionalists by teaching outsiders leading to a showdown with a Shaolin master in this film based on real events
39,Chhota Bheem,A brave energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil
40,He-Man and the Masters of the Universe,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull  and their destiny to defend Eternia from sinister Skeletor
41,Jaws,When an insatiable great white shark terrorizes Amity Island a police chief an oceanographer and a grizzled shark hunter seek to destroy the beast
42,Jaws 2,Four years after the last deadly shark attacks police chief Martin Brody fights to protect Amity Island from another killer great white
43,Jaws 3,After the staff of a marine theme park try to capture a young great white shark they discover its mother has invaded the enclosure and is out for blood
44,Jaws: The Revenge,After another deadly shark attack Ellen Brody has had enough of Amity Island and moves to the Caribbean  but a great white shark follows her there
45,My Heroes Were Cowboys,Robin Wiltshires painful childhood was rescued by Westerns Now he lives on the frontier of his dreams training the horses he loves for the big screen
46,Safe House,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house thats come under attack and get him to a securer location
47,The Smart Money Woman,Five glamorous millennials strive for success as they juggle careers finances love and friendships Based on Arese Ugwus 2016 bestselling novel
48,Training Day,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentors questionable brand of justice
49,Castle and Castle,A pair of highpowered successful lawyers find themselves defending opposite interests of the justice system causing a strain on their happy marriage
50,Dharmakshetra,After the ancient Great War the god Chitragupta oversees a trial to determine who were the battles true heroes and villains
51,InuYasha the Movie 2: The Castle Beyond the Looking Glass,With their biggest foe seemingly defeated InuYasha and his friends return to everyday life But the peace is soon shattered by an emerging new enemy
52,InuYasha the Movie 3: Swords of an Honorable Ruler,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons Now the evil power of the third sword has been awakened
53,InuYasha the Movie 4: Fire on the Mystic Island,Ai a young halfdemon who has escaped from Horai Island to try to help her people returns with potential saviors InuYasha Sesshomaru and Kikyo
54,InuYasha the Movie: Affections Touching Across Time,A powerful demon has been sealed away for 200 years But when the demons son is awakened the fate of the world is in jeopardy
55,Nailed It,Home bakers with a terrible track record take a crack at recreating edible masterpieces for a 10000 prize Its part reality contest part hot mess
56,Naruto Shippuden the Movie: Blood Prison,Mistakenly accused of an attack on the Fourth Raikage ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed
57,Naruto Shippûden the Movie: Bonds,When strange ninjas ambush the village of Konohagakure its up to adolescent ninja Naruto and his longmissing pal Sasuke to save the planet
58,Naruto Shippûden the Movie: The Will of Fire,When four out of five ninja villages are destroyed the leader of the one spared tries to find the true culprit and protect his land
59,Naruto Shippuden: The Movie,The adventures of adolescent ninja Naruto Uzumaki continue as hes tasked with protecting a priestess from a demon  but to do so he must die
60,Naruto Shippuden: The Movie: The Lost Tower,When Naruto is sent to recover a missing nin the rogue manages to send him 20 years into the past where he unites with his father to battle evil
61,Naruto the Movie 2: Legend of the Stone of Gelel,While on a mission to return a missing pet Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin
62,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son Hikaru to the Crescent Moon kingdom
63,Naruto the Movie: Ninja Clash in the Land of Snow,Naruto Sasuke and Sakura learn theyll be protecting an actress from being hurt while making her next film but it turns out shes a princess
64,Nightbooks,Scary story fan Alex must tell a spinetingling tale every night  or stay trapped with his new friend in a wicked witchs magical apartment forever
65,Numberblocks,In a place called Numberland math adds up to tons of fun when a group of cheerful blocks work play and sing together
66,Raja Rasoi Aur Anya Kahaniyan,Explore the history and flavors of regional Indian cuisine from traditional Kashmiri feasts to the vegetarian dishes of Gujarat
67,Saved by the Bell,From middle school to college best friends Zack Kelly Slater Jessie Screech and Lisa take on the highs and lows of life together in this hit series
68,Schumacher,Through exclusive interviews and archival footage this documentary traces an intimate portrait of seventime Formula 1 champion Michael Schumacher
69,Stories by Rabindranath Tagore,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early20thcentury Bengal
70,Too Hot To Handle: Latino,On this reality show singles from Latin America and Spain are challenged to give up sex But here abstinence comes with a silver lining US100000
71,A StoryBots Space Adventure,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids questions about space
72,Jack Whitehall: Travels with My Father,Jovial comic Jack Whitehall invites his stuffy father Michael to travel with him through Southeast Asia in an attempt to strengthen their bond
73,King of Boys,When a powerful businesswomans political ambitions are threatened by her underworld connections the ensuing power struggle could cost her everything
74,The World's Most Amazing Vacation Rentals,With an eye for every budget three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series
